date,provider,model,team,project,requests,input_tokens,output_tokens,cache_read_tokens,cost_usd
2026-05-15,bedrock,claude-opus-5,Delivery,Client Portal,81,170355,70722,31291,2.64
2026-05-15,bedrock,claude-opus-4-8,Delivery,Cortex CMS,396,830511,341037,154119,12.76
2026-05-15,bedrock,claude-sonnet-5,Delivery,Cortex CMS,3002,4995569,1915062,867336,43.97
2026-05-15,bedrock,claude-haiku-4-5,Platform,Agent Runtime,21265,25400253,2089879,4800140,36.33
2026-05-15,bedrock,claude-sonnet-5,Platform,Agent Runtime,1339,2159735,456941,339387,13.44
2026-05-15,anthropic-api,claude-fable-5,Data Science,Churn Model,49,157851,109386,25718,7.07
2026-05-15,anthropic-api,claude-opus-5,Data Science,Churn Model,40,80154,41545,15020,1.45
2026-05-15,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,713,1245682,633738,215933,13.31
2026-05-15,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,1741,1954528,262898,342335,3.30
2026-05-15,bedrock,claude-haiku-4-5,Support,Ticket Triage,8363,9485476,928278,1957930,14.32
2026-05-15,bedrock,claude-sonnet-5,Support,Ticket Triage,393,720096,231274,119819,5.67
2026-05-16,bedrock,claude-opus-5,Delivery,Cortex CMS,21,49229,22523,9926,0.81
2026-05-16,bedrock,claude-opus-4-8,Delivery,Cortex CMS,92,188115,111103,37910,3.74
2026-05-16,bedrock,claude-sonnet-5,Delivery,Client Portal,560,1049121,502565,199906,10.75
2026-05-16,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,4673,5556482,454047,932304,7.92
2026-05-16,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,271,491255,85435,88421,2.78
2026-05-16,anthropic-api,claude-fable-5,Data Science,Forecasting,12,43093,29422,8150,1.91
2026-05-16,anthropic-api,claude-opus-5,Data Science,Churn Model,9,20291,14575,3846,0.47
2026-05-16,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,143,222368,96105,44512,2.12
2026-05-16,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,337,387962,41086,64604,0.60
2026-05-16,bedrock,claude-haiku-4-5,Support,Ticket Triage,1863,2172608,176419,362513,3.09
2026-05-16,bedrock,claude-sonnet-5,Support,Ticket Triage,117,213870,56388,43980,1.50
2026-05-17,bedrock,claude-opus-5,Delivery,Client Portal,23,57156,27544,11181,0.98
2026-05-17,bedrock,claude-opus-4-8,Delivery,Cortex CMS,106,201535,87151,39289,3.21
2026-05-17,bedrock,claude-sonnet-5,Delivery,Client Portal,673,1184073,548194,251704,11.85
2026-05-17,bedrock,claude-haiku-4-5,Platform,Agent Runtime,6235,7142862,524881,1225781,9.89
2026-05-17,bedrock,claude-sonnet-5,Platform,Agent Runtime,263,479770,80044,78018,2.66
2026-05-17,anthropic-api,claude-fable-5,Data Science,Forecasting,15,51729,40216,8976,2.54
2026-05-17,anthropic-api,claude-opus-5,Data Science,Forecasting,12,24443,16172,4955,0.53
2026-05-17,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,185,277726,100346,49887,2.35
2026-05-17,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,365,407642,40981,80191,0.62
2026-05-17,bedrock,claude-haiku-4-5,Support,Ticket Triage,2023,2270174,245695,393036,3.54
2026-05-17,bedrock,claude-sonnet-5,Support,Ticket Triage,96,146540,45912,24378,1.14
2026-05-18,bedrock,claude-opus-5,Delivery,Client Portal,113,265410,119309,57627,4.34
2026-05-18,bedrock,claude-opus-4-8,Delivery,Cortex CMS,506,1137798,456545,240117,17.22
2026-05-18,bedrock,claude-sonnet-5,Delivery,Cortex CMS,2563,4794102,2168565,792335,47.15
2026-05-18,bedrock,claude-haiku-4-5,Platform,Agent Runtime,25631,30140740,2144261,5988086,41.46
2026-05-18,bedrock,claude-sonnet-5,Platform,Agent Runtime,1210,2164245,382110,455003,12.36
2026-05-18,anthropic-api,claude-fable-5,Data Science,Churn Model,61,220153,161770,44521,10.33
2026-05-18,anthropic-api,claude-opus-5,Data Science,Churn Model,55,120681,61302,25110,2.15
2026-05-18,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,753,1286903,463994,279564,10.90
2026-05-18,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,1814,2155918,255153,447910,3.48
2026-05-18,bedrock,claude-haiku-4-5,Support,Ticket Triage,10107,12105916,1053283,2447915,17.62
2026-05-18,bedrock,claude-sonnet-5,Support,Ticket Triage,495,911305,298297,158010,7.26
2026-05-19,bedrock,claude-opus-5,Delivery,Cortex CMS,144,299779,167102,53293,5.70
2026-05-19,bedrock,claude-opus-4-8,Delivery,Client Portal,502,1111940,476326,223300,17.58
